
CPIO INFORMATION 

MET Start: 514289169.22 Stop: 514289169.22
UTC Start: 2017:109:10:06:04 Stop: 2017:109:10:06:04

OBSID: 00000000000 Target: 0 Segment: 0
RA: 0.00000 Dec: 0.00000
Roll: 0.00000

DATAMODE: -- (none) --
CPIONAME:onslew.sou


-----------------------------------------------------------

EXTENSION : TRIG_SOURCE
DATAMODE : -- (none) --
TYPE : TRIG_SOURCE
Number of Rows : 1300

Names of Columns: 

TIME 1D (1)
NAME 15A (15)
SCRIPT 1A (1)
CATNUM 1J (1)
DSPCLEAN 1X (1)
SRC_TYPE 1I (1)
MERIT 1I (1)
RA_OBJ 1E (1)
DEC_OBJ 1E (1)
THRESHOLD 1E (1)
LDPNAME 15A15 (15)
APID 1I (1)
LDP 1J (1)



NOTE: "VVVVVVVV" indicates repeated lines have been removed

+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
| 93|514289169.22|H1820-303 |B| 10076|0x00000000| 11| 95| 275.92| -30.367| 288.12|onslew.sou | 481| 48954|
| 94|514289169.22|H1820-303 |B| 15076|0x00000000| 16| 95| 275.92| -30.367| -83430.|onslew.sou | 481| 48954|
| 95|514289169.22|H1822-000 |0| 10077|0x00000000| 13| 95| 276.35| -0.017000| 48.000|onslew.sou | 481| 48954|
| 96|514289169.22|H1907+097 |0| 10078|0x00000000| 13| 95| 287.40| 9.8330| 44.000|onslew.sou | 481| 48954|
| 97|514289169.22|IC_4329A |0| 10079|0x00000000| 13| 95| 207.32| -30.317| 24.000|onslew.sou | 481| 48954|
| 98|514289169.22|KS_1731-260 |B| 10080|0x00000000| 11| 95| 263.55| -26.100| 768.00|onslew.sou | 481| 48954|
| 99|514289169.22|KS_1731-260 |B| 15080|0x00000000| 16| 95| 263.55| -26.100| -3170.0|onslew.sou | 481| 48954|
| 100|514289169.22|LMC_X-4 |0| 10081|0x00000000| 13| 95| 83.200| -66.367| 31.000|onslew.sou | 481| 48954|
| 101|514289169.22|MCG_+8-11-11 |0| 10082|0x00000000| 13| 95| 88.725| 46.433| 17.000|onslew.sou | 481| 48954|
| 102|514289169.22|MCG_-5-23-16 |0| 10083|0x00000000| 13| 95| 146.93| -30.950| 21.000|onslew.sou | 481| 48954|
| 103|514289169.22|MCG_-6-30-15 |0| 10084|0x00000000| 13| 95| 203.98| -34.300| 34.000|onslew.sou | 481| 48954|
| 104|514289169.22|MRK_279 |0| 10085|0x00000000| 13| 95| 208.25| 69.317| 13.000|onslew.sou | 481| 48954|
| 105|514289169.22|MRK_463 |0| 10086|0x00000000| 13| 95| 209.00| 18.367| 18.000|onslew.sou | 481| 48954|
| 106|514289169.22|MRK_501 |0| 10087|0x00000000| 13| 95| 253.48| 39.767| 413.00|onslew.sou | 481| 48954|
| 107|514289169.22|MRK_509 |0| 10088|0x00000000| 13| 95| 311.05| -10.717| 18.000|onslew.sou | 481| 48954|
| 108|514289169.22|NGC_1275 |0| 10089|0x00000000| 13| 95| 49.950| 41.517| 104.00|onslew.sou | 481| 48954|
| 109|514289169.22|NGC_253 |0| 10090|0x00000000| 13| 95| 11.900| -25.283| 19.000|onslew.sou | 481| 48954|
| 110|514289169.22|NGC_3783 |0| 10091|0x00000000| 13| 95| 174.75| -37.733| 11.000|onslew.sou | 481| 48954|
| 111|514289169.22|NGC_4151 |0| 10092|0x00000000| 13| 95| 182.65| 39.417| 73.000|onslew.sou | 481| 48954|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| 112|514289169.22|NGC_4388 |0| 10093|0x00000000| 13| 95| 186.45| 12.650| 28.000|onslew.sou | 481| 48954|
| 113|514289169.22|NGC_4507 |0| 10094|0x00000000| 13| 95| 188.90| -39.917| 4.0000|onslew.sou | 481| 48954|
| 114|514289169.22|NGC_5506 |0| 10095|0x00000000| 13| 95| 213.30| -3.2170| 27.000|onslew.sou | 481| 48954|
| 115|514289169.22|NGC_5548 |0| 10096|0x00000000| 13| 95| 214.50| 25.133| 330.79|onslew.sou | 481| 48954|
| 116|514289169.22|NGC_6814 |0| 10097|0x00000000| 13| 95| 295.67| -10.317| 34.000|onslew.sou | 481| 48954|
| 117|514289169.22|NGC_7582 |0| 10098|0x00000000| 13| 95| 349.60| -42.367| 12.000|onslew.sou | 481| 48954|
| 118|514289169.22|NovaMusc._1991 |0| 10099|0x00000000| 13| 95| 171.60| -68.683| 10.000|onslew.sou | 481| 48954|
| 119|514289169.22|NRAO_190 |0| 10100|0x00000000| 13| 95| 70.650| -0.28300| 158.00|onslew.sou | 481| 48954|
| 120|514289169.22|PKS_0528+134 |0| 10102|0x00000000| 13| 95| 82.725| 13.533| 1974.4|onslew.sou | 481| 48954|
| 121|514289169.22|PKS_2155-304 |0| 10103|0x00000000| 13| 95| 329.73| -30.217| 19.000|onslew.sou | 481| 48954|
| 122|514289169.22|PSR_1509-58 |0| 10104|0x00000000| 13| 95| 228.48| -59.133| 926.58|onslew.sou | 481| 48954|
| 123|514289169.22|PSR_B1055-52 |0| 10105|0x00000000| 13| 95| 164.50| -52.450| 9.0000|onslew.sou | 481| 48954|
| 124|514289169.22|PSR_B1259-63 |0| 10106|0x00000000| 13| 95| 195.70| -63.833| 10.000|onslew.sou | 481| 48954|
| 125|514289169.22|PSR_B1706-44 |0| 10107|0x00000000| 13| 95| 257.40| -44.517| 8.0000|onslew.sou | 481| 48954|
| 126|514289169.22|PSR_B1951+32 |0| 10108|0x00000000| 13| 95| 298.25| 32.883| 13.823|onslew.sou | 481| 48954|
| 127|514289169.22|QSO_0202+149 |0| 10109|0x00000000| 13| 95| 31.200| 15.233| 39.000|onslew.sou | 481| 48954|
| 128|514289169.22|QSO_0716+714 |0| 10110|0x00000000| 13| 95| 110.47| 71.333| 5.0000|onslew.sou | 481| 48954|
| 129|514289169.22|QSO_1219+285 |0| 10111|0x00000000| 13| 95| 185.38| 28.233| 21.000|onslew.sou | 481| 48954|
| 130|514289169.22|SAX_J1819.3-252|0| 10112|0x00000000| 4| 123| 274.84| -25.407| 40.068|onslew.sou | 481| 48954|
| 131|514289169.22|Sct_X-1 |0| 10113|0x00000000| 13| 95| 279.12| -7.6170| 105.00|onslew.sou | 481| 48954|
| 132|514289169.22|SMC_X-1 |0| 10114|0x00000000| 13| 95| 19.275| -73.433| 26.000|onslew.sou | 481| 48954|
| 133|514289169.22|SMC_X-3 |0| 10115|0x00000000| 13| 95| 13.025| -72.433| 35.000|onslew.sou | 481| 48954|
| 134|514289169.22|SN_1987A |0| 10116|0x00000000| 13| 95| 83.875| -69.267| 94.000|onslew.sou | 481| 48954|
| 135|514289169.22|TrA_X-1 |0| 10118|0x00000000| 13| 95| 232.07| -61.883| 361.00|onslew.sou | 481| 48954|
| 136|514289169.22|Vela_Pulsar |0| 10119|0x00000000| 13| 95| 128.85| -45.183| 22.000|onslew.sou | 481| 48954|
| 137|514289169.22|Virgo_Cluster |0| 10120|0x00000000| 13| 95| 186.63| 12.720| 26.000|onslew.sou | 481| 48954|
| 138|514289169.22|X_1732-304 |B| 10121|0x00000000| 11| 95| 263.95| -30.483| 57.000|onslew.sou | 481| 48954|
| 139|514289169.22|X_1732-304 |B| 15121|0x00000000| 16| 95| 263.95| -30.483| -8016.0|onslew.sou | 481| 48954|
| 140|514289169.22|XTE_J0929-314 |0| 10122|0x00000000| 13| 95| 142.33| -31.390| 69.000|onslew.sou | 481| 48954|
| 141|514289169.22|XTE_J1650-500 |0| 10123|0x00000000| 13| 95| 252.50| -50.000| 8.0000|onslew.sou | 481| 48954|
| 142|514289169.22|4U_0115+634 |0| 10124|0x00000000| 13| 95| 19.630| 63.740| 124.18|onslew.sou | 481| 48954|
| 143|514289169.22|3C_111 |0| 10125|0x00000000| 9| 95| 64.600| 38.033| 0.0000|onslew.sou | 481| 48954|
| 144|514289169.22|N49 |0| 10200|0x00000000| 7| 124| 81.500| -66.076| 0.0000|onslew.sou | 481| 48954|
| 145|514289169.22|SGR1806-20 |0| 10201|0x00000000| 7| 124| 272.16| -20.411| 13381.|onslew.sou | 481| 48954|
| 146|514289169.22|SGR1801-23 |0| 10203|0x00000000| 4| 124| 270.25| -22.947| 56.333|onslew.sou | 481| 48954|
| 147|514289169.22|SGR_0501+4516 |R| 10205|0x00000000| 7| 124| 75.265| 45.272| 24.633|onslew.sou | 481| 48954|
| 148|514289169.22|4U_1735-44 |B| 10300|0x00000000| 11| 95| 264.74| -44.450| 24.420|onslew.sou | 481| 48954|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| 149|514289169.22|4U_1735-44 |B| 15300|0x00000000| 16| 95| 264.74| -44.450| -40938.|onslew.sou | 481| 48954|
| 150|514289169.22|Ser_X-1 |B| 10304|0x00000000| 11| 95| 279.99| 5.0360| 40.339|onslew.sou | 481| 48954|
| 151|514289169.22|Ser_X-1 |B| 15304|0x00000000| 16| 95| 279.99| 5.0360| -22960.|onslew.sou | 481| 48954|
| 152|514289169.22|4U_0614+09 |B| 10307|0x00000000| 11| 95| 94.280| 9.1370| 976.26|onslew.sou | 481| 48954|
| 153|514289169.22|4U_0614+09 |B| 15307|0x00000000| 16| 95| 94.280| 9.1370| -29778.|onslew.sou | 481| 48954|
| 154|514289169.22|4U_1702-429 |B| 10309|0x00000000| 11| 95| 256.56| -43.036| 321.47|onslew.sou | 481| 48954|
| 155|514289169.22|4U_1702-429 |B| 15309|0x00000000| 16| 95| 256.56| -43.036| -45906.|onslew.sou | 481| 48954|
| 156|514289169.22|4U_1746-370 |B| 10310|0x00000000| 11| 95| 267.55| -37.052| 49.830|onslew.sou | 481| 48954|
| 157|514289169.22|4U_1746-370 |B| 15310|0x00000000| 16| 95| 267.55| -37.052| -24142.|onslew.sou | 481| 48954|
| 158|514289169.22|GS_1826-238 |B| 10311|0x00000000| 11| 95| 277.37| -23.797| 24.500|onslew.sou | 481| 48954|
| 159|514289169.22|GS_1826-238 |B| 15311|0x00000000| 16| 95| 277.37| -23.797| -69470.|onslew.sou | 481| 48954|
| 160|514289169.22|X_1745.6-2901 |B| 10314|0x00000000| 11| 95| 266.40| -29.026| 9398.4|onslew.sou | 481| 48954|
| 161|514289169.22|X_1745.6-2901 |B| 15314|0x00000000| 16| 95| 266.40| -29.026| -1.0000E+05|onslew.sou | 481| 48954|
| 162|514289169.22|X_0836-429 |B| 10315|0x00000000| 11| 95| 129.35| -42.886| 158.00|onslew.sou | 481| 48954|
| 163|514289169.22|X_0836-429 |B| 15315|0x00000000| 16| 95| 129.35| -42.886| -4562.0|onslew.sou | 481| 48954|
| 164|514289169.22|GX_9+9 |B| 10317|0x00000000| 11| 95| 262.93| -16.962| 13.370|onslew.sou | 481| 48954|
